x, y, 
-1.9999420190212933, -0.500000993874391, 
-1.9999420150720895, -0.500000993804845, 
-1.9999420116278572, -0.5000009938782867, 
-1.9999420156965784, -0.5000009938754976, 
-1.9999420388545721, -0.500000993872333, 
-1.999942052043437, -0.5000009938314085, 
-1.9999420562658368, -0.500000993877432, 
-1.9999420559202725, -0.5000009938716687, 
-1.9999420491289122, -0.5000009938562733, 
-1.9999420321058408, -0.5000009938173685, 
-1.9999420075042458, -0.5000009937921553, 
-1.999941999667573, -0.5000009938637539, 
-1.9999419924987218, -0.5000009938732087, 
-1.9999420098808285, -0.5000009937989595, 
-1.9999420249778526, -0.5000009938937994, 
-1.9999420457790749, -0.500000993807762, 
-1.999942051623323, -0.5000009938094967, 
-1.999942046973399, -0.5000009938988106, 
-1.9999420366212801, -0.5000009938901864, 
-1.99994202140136, -0.5000009938813357, 
-1.9999419972487105, -0.5000009938544295, 
-1.999941967206201, -0.5000009938970202, 
-1.9999419628589314, -0.5000009938467334, 
-1.9999419576303645, -0.5000009938987457, 
-1.99994197241541, -0.5000009938688532, 
-1.9999419926155584, -0.5000009938928536, 
-1.9999420154061514, -0.5000009939360803, 
-1.9999420310403846, -0.500000993929523, 
-1.9999420416992681, -0.5000009939302984, 
-1.999942043308955, -0.5000009939122275, 
-1.9999420346112333, -0.5000009938659444, 
-1.9999420154090224, -0.5000009938612198, 
-1.9999419858077205, -0.5000009939447152, 
-1.9999419506552332, -0.5000009939308446, 
-1.9999419357880543, -0.5000009938676993, 
-1.9999419290385896, -0.5000009939401586, 
-1.999941922972239, -0.5000009939544167, 
-1.9999419414436734, -0.5000009938845332, 
-1.9999419678818435, -0.5000009939679262, 
-1.999941985443071, -0.5000009939032307, 
-1.999941992320239, -0.5000009939081785, 
-1.9999419886866188, -0.5000009940006414, 
-1.9999419793426036, -0.500000993994922, 
-1.9999419651255121, -0.5000009939887314, 
-1.9999419419704516, -0.5000009939642658, 
-1.9999419206664866, -0.5000009940063609, 
-1.9999419260084996, -0.5000009939062716, 
-1.9999419347225271, -0.5000009940229346, 
-1.9999419449176692, -0.5000009939877033, 
-1.9999419660131674, -0.5000009940180274, 
-1.9999419762193298, -0.5000009939915777, 
-1.9999419760987442, -0.5000009939348639, 
-1.9999419651949406, -0.5000009940065703, 
-1.9999419457413952, -0.5000009940500368, 
-1.9999419218279526, -0.5000009940422647, 
-1.999941904918179, -0.5000009939455243, 
-1.9999418960187398, -0.5000009940558955, 
-1.999941894718754, -0.5000009940700683, 
-1.999941918652397, -0.5000009940091766, 
-1.9999419314448823, -0.5000009940780498, 
-1.9999419435265644, -0.500000994080231, 
-1.9999419465749706, -0.5000009940635312, 
-1.9999419393072868, -0.5000009940183903, 
-1.9999419215290857, -0.5000009940146373, 
-1.9999418933438828, -0.5000009940989149, 
-1.999941891989827, -0.5000009940372698, 
-1.9999418911325546, -0.5000009941181285, 
-1.999941897514096, -0.5000009940400345, 
-1.9999419074957827, -0.5000009941112041, 
-1.999941910955941, -0.5000009940939598, 
-1.9999419041220472, -0.5000009940490693, 
-1.999941886777958, -0.5000009940454997, 
-1.9999418784561032, -0.5000009941361244, 
-1.9999418777516393, -0.5000009941489894, 
-1.9999418904243125, -0.50000099412762, 
-1.9999418945350198, -0.500000994162135, 
-1.9999419105447929, -0.5000009941509893, 
-1.9999419142960282, -0.5000009941341798, 
-1.9999419077396892, -0.5000009940885444, 
-1.9999418906704116, -0.5000009940843138, 
-1.999941863190972, -0.5000009941680945, 
-1.9999418506467725, -0.5000009941462265, 
-1.9999418387763352, -0.50000099417457, 
-1.999941851542672, -0.500000994106785, 
-1.9999418622684746, -0.5000009941734204, 
-1.9999418828414945, -0.5000009941559665, 
-1.99994189043165, -0.5000009942006876, 
-1.9999418934280029, -0.5000009942001232, 
-1.9999418899656753, -0.5000009941893954, 
-1.9999418762558814, -0.5000009941547281, 
-1.9999418523075376, -0.5000009940891481, 
-1.9999418224913847, -0.500000994209232, 
-1.9999418176809622, -0.5000009941294654, 
-1.9999418209003403, -0.5000009942038333, 
